id,slug,name,symbol,cmc_rank,type,platform_name,token_address,total_supply,circulating_supply,max_supply,price,market_cap,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,tags,whitepaper_url,date_added,last_updated
32196,hyperliquid,Hyperliquid,HYPE,11,token,Hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,999993930,333928180,1000000000,58.71537773894917,19606719226.37981,453463316.73390514,60.1985,0.99725418,5.71078643,6.77707499,decentralized-exchange-dex-token;defi;derivatives;layer-1;hyperliquid-ecosystem;binance-ecosystem;binance-listing,https://hyperliquid.gitbook.io/hyperliquid-docs,2024-07-15T10:14:50.000Z,2025-09-18T18:32:00.000Z
1975,chainlink,Chainlink,LINK,12,token,Ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,1000000000,678099970.4527867,1000000000,24.538435443059335,16639512348.896149,1155348762.423427,29.2081,0.37501438,5.93895013,3.37934642,platform;defi;interoperability;oracles;smart-contracts;ethereum-ecosystem;polkadot;heco-ecosystem;avalanche-ecosystem;solana-ecosystem;framework-ventures-portfolio;polygon-ecosystem;fantom-ecosystem;cardano-ecosystem;terra-ecosystem;web3;near-protocol-ecosystem;arbitrum-ecosystem;defi-2;cross-chain;cardano;injective-ecosystem;bnb-chain-ecosystem;optimism-ecosystem;real-world-assets-protocols;gnosis-chain-ecosystem;sora-ecosystem;hoo-smart-chain-ecosystem;energi-ecosystem;x-layer-ecosystem;made-in-america;world-liberty-financial-portfolio;binance-ecosystem;binance-listing;wlfi-ecosystem,https://chain.link/whitepaper,2017-09-20T00:00:00.000Z,2025-09-18T18:33:00.000Z
5805,avalanche,Avalanche,AVAX,13,coin,,,457277985.48916084,422275285.48916084,715748719,34.50684599333152,14571388243.164572,2137467930.4694178,169.493,2.3011465,14.95159763,18.95063835,smart-contracts;three-arrows-capital-portfolio;polychain-capital-portfolio;avalanche-ecosystem;cms-holdings-portfolio;dragonfly-capital-portfolio;real-world-assets-protocols;layer-1;made-in-america;world-liberty-financial-portfolio;binance-ecosystem;binance-listing,https://www.avalabs.org/whitepapers,2020-07-13T00:00:00.000Z,2025-09-18T18:33:00.000Z
20947,sui,Sui,SUI,14,coin,,,10000000000,3568833706.3227763,10000000000,3.9604980973877084,14134359103.78448,2160624759.2282276,122.7059,0.27932839,9.69741602,9.91924902,binance-launchpool;coinbase-ventures-portfolio;binance-labs-portfolio;electric-capital-portfolio;a16z-portfolio;sui-ecosystem;layer-1;move-vm;cmc-crypto-yearbook-2024-2025;made-in-america;world-liberty-financial-portfolio;binance-ecosystem;binance-listing,https://docs.sui.io/,2022-07-12T08:03:11.000Z,2025-09-18T18:32:00.000Z
29470,ethena-usde,Ethena USDe,USDe,15,token,Ethereum,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,13904462102.1853,13904462102.1853,,1.0012143524176622,13921347019.355383,282055514.18745244,49.5948,0.00565953,0.00406996,0.04436037,stablecoin;asset-backed-stablecoin;binance-labs-portfolio;dragonfly-capital-portfolio;usd-stablecoin;eigenlayer-ecosystem;binance-ecosystem;binance-listing;xlayer-ecosystem,https://ethena-labs.gitbook.io/ethena-labs/,2024-02-20T11:05:01.000Z,2025-09-18T18:33:00.000Z
512,stellar,Stellar,XLM,16,coin,,,50001786886.69552,31856626207.622547,50001806812,0.4037035545631933,12860633236.408203,347286464.2538151,47.8748,0.60504132,4.39188944,3.72695582,medium-of-exchange;enterprise-solutions;decentralized-exchange-dex-token;defi;smart-contracts;hashkey-capital-portfolio;real-world-assets-protocols;2017-2018-alt-season;made-in-america;binance-ecosystem;binance-listing,https://www.stellar.org/papers/stellar-consensus-protocol.pdf,2014-08-05T00:00:00.000Z,2025-09-18T18:33:00.000Z
1831,bitcoin-cash,Bitcoin Cash,BCH,17,coin,,,19927343.75,19927343.75,21000000,638.2333344245562,12718295047.78684,1452997199.3094935,147.9192,-0.13588981,7.06005443,8.18997178,mineable;pow;sha-256;marketplace;medium-of-exchange;store-of-value;enterprise-solutions;payments;layer-1;2017-2018-alt-season;made-in-america;binance-ecosystem;binance-listing,https://bch.info/bitcoin.pdf,2017-07-23T00:00:00.000Z,2025-09-18T18:32:00.000Z
4642,hedera,Hedera,HBAR,18,coin,,,50000000000,42392927395.29389,50000000000,0.24814005893912497,10519383502.470272,428380812.32431686,72.0931,0.22550978,4.60229637,5.54405033,dag;marketplace;enterprise-solutions;payments;dcg-portfolio;hedera-hashgraph-ecosystem;real-world-assets-protocols;layer-1;made-in-america;binance-ecosystem;binance-listing,https://www.hedera.com/papers,2019-09-17T00:00:00.000Z,2025-09-18T18:32:00.000Z
2,litecoin,Litecoin,LTC,19,coin,,,84000000,76312595.73347135,84000000,118.37545189369465,9033538005.130505,744841178.747541,31.1178,0.45169,3.40918918,3.15546364,mineable;pow;scrypt;medium-of-exchange;layer-1;2017-2018-alt-season;made-in-america;binance-ecosystem;binance-listing,,2013-04-28T00:00:00.000Z,2025-09-18T18:32:00.000Z
3957,unus-sed-leo,UNUS SED LEO,LEO,20,token,Ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,985239504,922637766.9,,9.504849075156635,8769532725.424047,1251923.10756008,75.8767,-0.34780467,-0.23424175,-0.67526362,marketplace;centralized-exchange;discount-token;payments;ethereum-ecosystem;kenetic-capital-portfolio;alameda-research-portfolio,https://www.bitfinex.com/wp-2019-05.pdf,2019-05-21T00:00:00.000Z,2025-09-18T18:33:00.000Z
3635,cronos,Cronos,CRO,21,coin,,,98010714523.47156,34810713902.879906,100000000000,0.24336649096208432,8471761290.4289255,68982489.59186476,57.9606,0.15797784,4.70385448,-6.18196935,medium-of-exchange;centralized-exchange;mobile;payments;layer-1,https://whitepaper.cronos.org/,2018-12-14T00:00:00.000Z,2025-09-18T18:33:00.000Z
11419,toncoin,Toncoin,TON,22,coin,,,5140867665.364564,2544533363.5561633,,3.1710620206995204,8068873109.575754,178791558.3834397,5.298,0.12753501,2.87023349,-0.64642029,pos;layer-1;ftx-bankruptcy-estate;dwf-labs-portfolio;toncoin-ecosystem;cmc-crypto-yearbook-2024-2025;binance-ecosystem;binance-listing,https://ton.org/whitepaper.pdf,2021-08-26T13:40:22.000Z,2025-09-18T18:32:00.000Z
5994,shiba-inu,Shiba Inu,SHIB,23,token,Ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,589500927804870.1,589245889378583.6,589552695333683,1.3564152959632984e-05,7992621374.366085,272856632.89199984,34.7981,0.08670808,4.11525447,4.16047586,memes;ethereum-ecosystem;doggone-doggerel;bnb-chain-ecosystem;base-ecosystem;animal-memes;binance-ecosystem;binance-listing,https://github.com/shytoshikusama/woofwoofpaper/raw/main/SHIBA_INU_WOOF_WOOF.pdf,2020-08-01T00:00:00.000Z,2025-09-18T18:33:00.000Z
6636,polkadot-new,Polkadot,DOT,24,coin,,,1618601343.023813,1618601343.023813,,4.586289041986469,7423373602.854696,488523073.5820462,83.7028,0.45612041,8.74415486,9.62748696,defi;ethereum-ecosystem;substrate;polkadot;polkadot-ecosystem;three-arrows-capital-portfolio;polychain-capital-portfolio;heco-ecosystem;arrington-xrp-capital-portfolio;blockchain-capital-portfolio;boostvc-portfolio;cms-holdings-portfolio;coinfund-portfolio;fabric-ventures-portfolio;fenbushi-capital-portfolio;hashkey-capital-portfolio;kenetic-capital-portfolio;1confirmation-portfolio;placeholder-ventures-portfolio;pantera-capital-portfolio;exnetwork-capital-portfolio;web3;arbitrum-ecosystem;spartan-group;optimism-ecosystem;osmosis-ecosystem;base-ecosystem;gnosis-chain-ecosystem;binance-ecosystem;binance-listing,https://polkadot.com/papers/Polkadot-whitepaper.pdf,2020-08-19T00:00:00.000Z,2025-09-18T18:33:00.000Z
7083,uniswap,Uniswap,UNI,25,token,Ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,1000000000,630330527.71,,9.626391370607536,6067808352.578038,354351018.2774211,51.5204,0.34064352,3.8200237,-1.69767375,decentralized-exchange-dex-token;defi;dao;ethereum-ecosystem;yield-farming;amm;coinbase-ventures-portfolio;three-arrows-capital-portfolio;governance;heco-ecosystem;avalanche-ecosystem;solana-ecosystem;blockchain-capital-portfolio;defiance-capital-portfolio;alameda-research-portfolio;a16z-portfolio;pantera-capital-portfolio;parafi-capital;paradigm-portfolio;polygon-ecosystem;terra-ecosystem;near-protocol-ecosystem;arbitrum-ecosystem;cmc-crypto-awards-2024;gnosis-chain-ecosystem;sora-ecosystem;hoo-smart-chain-ecosystem;made-in-america;binance-ecosystem;binance-listing,,2020-09-17T00:00:00.000Z,2025-09-18T18:32:00.000Z
27075,mantle,Mantle,MNT,26,token,Ethereum,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,6219316794.89,3252944055.7368407,6219316795,1.842677400337303,5994126496.067844,550158151.4289185,9.7669,0.06309709,10.06066948,14.80767948,ethereum-ecosystem;layer-2;dwf-labs-portfolio,https://docs.mantle.xyz/network/for-developers/quick-access,2023-07-17T11:00:31.000Z,2025-09-18T18:33:00.000Z
328,monero,Monero,XMR,27,coin,,,18446744.07370955,18446744.07370955,,300.0531625425977,5535003897.930473,108661093.65848872,-13.3229,-0.02454416,2.0013777,11.0987659,mineable;pow;medium-of-exchange;privacy;ringct;boostvc-portfolio;electric-capital-portfolio;galaxy-digital-portfolio;layer-1;2017-2018-alt-season;binance-ecosystem;binance-listing,https://github.com/monero-project/research-lab/blob/master/whitepaper/whitepaper.pdf,2014-05-21T00:00:00.000Z,2025-09-18T18:33:00.000Z
33251,world-liberty-financial-wlfi,World Liberty Financial,WLFI,28,token,Ethereum,0xdA5e1988097297dCdc1f90D4dFE7909e847CBeF6,100000000000,24596962026,100000000000,0.22323775776755025,5490970650.57782,470665768.7874127,-0.5489,0.33382313,4.1989196,17.52491217,defi;ethereum-ecosystem;solana-ecosystem;bnb-chain-ecosystem;made-in-america;binance-ecosystem;binance-listing;wlfi-ecosystem,https://static.worldlibertyfinancial.com/docs/gold-paper.pdf,2024-10-01T02:34:47.000Z,2025-09-18T18:33:00.000Z
4943,multi-collateral-dai,Dai,DAI,29,token,Ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,5365382702.664872,5365382702.664872,,0.9997218984224412,5363890581.271054,89469496.47481768,-71.4431,-0.0048098,-0.00380139,-0.00852427,defi;stablecoin;asset-backed-stablecoin;usd-stablecoin;binance-ecosystem;binance-listing;xlayer-ecosystem,,2019-11-22T00:00:00.000Z,2025-09-18T18:33:00.000Z
24478,pepe,Pepe,PEPE,30,token,Ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,420689899653543.56,420689899653543.56,420690000000000,1.1575270200150511e-05,4869599258.963972,1004479899.0962268,24.3714,0.07760101,5.721574,10.30330604,memes;ethereum-ecosystem;binance-ecosystem;binance-listing,,2023-04-17T06:18:08.000Z,2025-09-18T18:33:00.000Z
30171,ethena,Ethena,ENA,31,token,Ethereum,0x57e114B691Db790C35207b2e685D4A43181e6061,15000000000,6889062500,15000000000,0.7027327216024473,4841169639.914359,580851283.3283688,20.4861,-0.47594615,-0.57255914,-8.109868,defi;ethereum-ecosystem;binance-labs-portfolio;okx-ventures-portfolio;cmc-crypto-yearbook-2024-2025;world-liberty-financial-portfolio;binance-ecosystem;binance-listing,https://ethena-labs.gitbook.io/ethena-labs/,2024-03-29T04:42:08.000Z,2025-09-18T18:32:00.000Z
7278,aave,Aave,AAVE,32,token,Ethereum,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,16000000,15231913.16315624,,311.1983758071773,4740146636.810185,471502019.37429464,28.4674,-0.18526579,5.5411728,2.47112297,defi;dao;ethereum-ecosystem;yield-farming;three-arrows-capital-portfolio;governance;heco-ecosystem;avalanche-ecosystem;solana-ecosystem;lending-borowing;blockchain-capital-portfolio;defiance-capital-portfolio;framework-ventures-portfolio;alameda-research-portfolio;pantera-capital-portfolio;parafi-capital;polygon-ecosystem;fantom-ecosystem;near-protocol-ecosystem;arbitrum-ecosystem;optimism-ecosystem;standard-crypto-portfolio;gnosis-chain-ecosystem;sora-ecosystem;made-in-america;world-liberty-financial-portfolio;binance-ecosystem;binance-listing,https://github.com/aave/aave-protocol/blob/master/docs/Aave_Protocol_Whitepaper_v1_0.pdf,2020-10-02T00:00:00.000Z,2025-09-18T18:33:00.000Z
3897,okb,OKB,OKB,33,token,Ethereum,0x75231f58b43240c9718dd58b4967c5114342a86c,21000000,21000000,21000000,196.20934835467418,4120396315.448158,146194552.6059089,20.5219,0.06222868,1.84877923,1.12597979,marketplace;centralized-exchange;discount-token;ethereum-ecosystem;alameda-research-portfolio;x1-ecosystem;okexchain-ecosystem;x-layer-ecosystem;xlayer-ecosystem,,2019-04-30T00:00:00.000Z,2025-09-18T18:33:00.000Z
6535,near-protocol,NEAR Protocol,NEAR,34,coin,,,1271606614,1249836992,,3.137456719178999,3921309468.428869,388327010.74104637,110.1968,3.10288492,15.48394378,15.7891,platform;ai-big-data;staking;coinbase-ventures-portfolio;three-arrows-capital-portfolio;arrington-xrp-capital-portfolio;coinfund-portfolio;electric-capital-portfolio;fabric-ventures-portfolio;kenetic-capital-portfolio;near-protocol-ecosystem;cross-chain;circle-ventures-portfolio;layer-1;alleged-sec-securities;modular-blockchain;account-abstraction;data-availability;cmc-crypto-yearbook-2024-2025;made-in-america;binance-ecosystem;binance-listing,https://near.org/papers/the-official-near-white-paper,2020-08-11T00:00:00.000Z,2025-09-18T18:33:00.000Z
22974,bittensor,Bittensor,TAO,35,token,Bittensor,0,21000000,9902290.38336222,21000000,370.2597996488036,3666420053.4079704,220815499.68460017,93.0585,0.35439751,6.91030283,3.67781765,ai-big-data;distributed-computing;oracles;dao;polychain-capital-portfolio;dcg-portfolio;open-source;generative-ai;layer-1;depin;cmc-crypto-yearbook-2024-2025;binance-ecosystem;binance-listing;bittensor-ecosystem;robotics,https://drive.google.com/file/d/1VnsobL6lIAAqcA1_Tbm8AYIQscfJV4KU/view?usp=sharing,2023-03-06T05:20:00.000Z,2025-09-18T18:33:00.000Z
11092,bitget-token-new,Bitget Token,BGB,36,token,Ethereum,0x54D2252757e1672EEaD234D27B1270728fF90581,919992035.9787906,696254176.3085762,2000000000,5.173687122916643,3602201266.244615,368561622.07700944,51.5968,-0.08215753,4.05277887,5.79732933,centralized-exchange;ethereum-ecosystem,https://img.bitgetimg.com/multiLang/events/BGB-whitepaper-en-20241227.pdf,2021-07-29T00:00:00.000Z,2025-09-18T18:32:00.000Z
21159,ondo-finance,Ondo,ONDO,37,token,Ethereum,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,10000000000,3159107529,,1.0874544894420053,3435385665.04109,274421101.9227755,50.8269,0.47063011,6.66711786,5.39735989,ethereum-ecosystem;real-world-assets-protocols;cmc-crypto-yearbook-2024-2025;made-in-america;world-liberty-financial-portfolio;binance-ecosystem;binance-listing,https://docs.ondo.foundation/ondo-token,2024-01-18T12:06:25.000Z,2025-09-18T18:33:00.000Z
21794,aptos,Aptos,APT,38,coin,,,1175563210.947348,701405616.0489788,,4.734259200906733,3320635991.347533,402058364.9213297,50.7379,0.55138272,6.99423239,5.75316701,binance-labs-portfolio;circle-ventures-portfolio;layer-1;ftx-bankruptcy-estate;move-vm;made-in-america;binance-ecosystem;binance-listing,https://aptosfoundation.org/whitepaper,2022-10-19T01:50:25.000Z,2025-09-18T18:33:00.000Z
13502,worldcoin-org,Worldcoin,WLD,39,token,Ethereum,0x163f8c2467924be0ae7b5347228cabf260318753,10000000000,2048258860.185937,,1.5907794884505588,3258328181.8209095,588848029.0969025,52.3362,0.15653868,0.4731207,-2.41377694,defi;privacy;zero-knowledge-proofs;identity;ethereum-ecosystem;governance;blockchain-capital-portfolio;a16z-portfolio;token;optimism-ecosystem;world-chain-mainnet-ecosystem;made-in-america;binance-ecosystem;binance-listing,https://whitepaper.worldcoin.org/,2021-10-28T15:31:43.000Z,2025-09-18T18:32:00.000Z
1321,ethereum-classic,Ethereum Classic,ETC,40,coin,,,210700000,153569680.19098544,210700000,21.138668835027733,3246258612.65836,184886754.68861315,44.2836,0.16181515,3.81408443,-0.31464919,mineable;pow;ethash;platform;smart-contracts;dcg-portfolio;layer-1;2017-2018-alt-season;ethereum-classic-ecosystem;binance-ecosystem;binance-listing,https://ethereumclassic.org/knowledge/foundation,2016-07-24T00:00:00.000Z,2025-09-18T18:32:00.000Z
35626,story-protocol,Story,IP,41,coin,,,1013824833,312489414,,10.326351006791299,3226875374.870523,136571040.31693703,21.7209,-0.29447905,0.12960824,6.99548093,ai-big-data;smart-contracts;layer-1;made-in-america;binance-ecosystem;binance-listing,https://www.story.foundation/whitepaper.pdf,2025-02-06T07:02:40.000Z,2025-09-18T18:33:00.000Z
35697,pi,Pi,PI,42,token,,,100000000000,8141668143.585277,100000000000,0.3620415264790416,2947621962.789398,29346192.39623438,20.335,0.11383779,1.61424915,5.50679956,layer-1;mobile-mining,https://minepi.com/white-paper/,2025-02-11T07:16:10.000Z,2025-09-18T18:33:00.000Z
36410,myx-finance,MYX Finance,MYX,43,token,BNB Smart Chain (BEP20),0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16,1000000000,197111680.5,1000000000,14.818261018614942,2920852331.466833,348171304.61280614,-48.5586,-0.07665625,-17.1301204,11.44343114,defi;bnb-chain-ecosystem;binance-alpha;binance-wallet-ido;binance-ecosystem;binance-listing,https://myxfinance.gitbook.io/myx,2025-05-05T03:08:48.000Z,2025-09-18T18:33:00.000Z
36507,pump-fun,Pump.fun,PUMP,44,token,Solana,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,1000000000000,354000000000,1000000000000,0.007940566111349039,2810960403.4175596,814156574.9295743,3.8174,-0.65222714,0.67891002,47.59181952,launchpad;solana-ecosystem;pump-fun-ecosystem;binance-ecosystem;binance-listing,,2025-05-14T18:51:49.000Z,2025-09-18T18:33:00.000Z
11841,arbitrum,Arbitrum,ARB,45,token,Arbitrum,0x912CE59144191C1204E64559FE8253a0e49E6548,10000000000,5295780056,,0.5259331703935357,2785226394.558936,473183896.08196366,68.8323,0.38197044,6.15160319,1.58883704,scaling;dao;dapp;ethereum-ecosystem;polychain-capital-portfolio;layer-2;rollups;pantera-capital-portfolio;arbitrum-ecosystem;osmosis-ecosystem;modular-blockchain;egirl-capital-portfolio;binance-ecosystem;binance-listing,https://github.com/OffchainLabs,2023-03-23T12:50:11.000Z,2025-09-18T18:33:00.000Z
28321,polygon-ecosystem-token,POL (prev. MATIC),POL,46,token,Ethereum,0x455e53cbb86018ac2b8092fdcd39d8444affc3f6,10496230792.905375,10496230782.905375,,0.2640330083858999,2771351390.3231955,189773112.3698015,3.5055,0.5363243,3.87822109,-1.77248862,ethereum-ecosystem;layer-2;binance-ecosystem;binance-listing,https://polygon.technology/papers/pol-whitepaper,2023-10-30T14:43:57.000Z,2025-09-18T18:32:00.000Z
8916,internet-computer,Internet Computer,ICP,47,coin,,,538056937.4575796,538056937.4575796,,4.942865984902411,2659543334.099834,79748838.95938542,10.7469,0.63584877,4.5654688,0.86556182,platform;ai-big-data;smart-contracts;polychain-capital-portfolio;electric-capital-portfolio;fenbushi-capital-portfolio;hashkey-capital-portfolio;a16z-portfolio;multicoin-capital-portfolio;exnetwork-capital-portfolio;icp-ecosystem;internet-computer-ecosystem;layer-1;alleged-sec-securities;depin;binance-ecosystem;binance-listing,https://internetcomputer.org/whitepaper.pdf,2021-03-23T00:00:00.000Z,2025-09-18T18:32:00.000Z
35491,memecore,MemeCore,M,48,token,BNB Smart Chain (BEP20),0x22b1458e780f8fa71e2f84502cee8b5a3cc731fa,5264317858.42,1039501066,10000000000,2.5560870370380058,2657055199.7897882,51580987.62517041,75.8755,-1.79303341,-0.08942134,30.2421035,memes;bnb-chain-ecosystem;layer-1;binance-alpha;binance-alpha-airdrops;binance-ecosystem;binance-listing,https://docs.memecore.com/,2025-07-03T09:16:58.000Z,2025-09-18T18:33:00.000Z
36148,usd1,World Liberty Financial USD,USD1,49,token,Ethereum,0x8d0D000Ee44948FC98c9B98A4FA4921476f08B0d,2655429261.7657547,2655429261.7657547,,0.9999645179126272,2655335041.5926766,460525137.4718994,21.7704,-0.00988278,-0.01511144,0.06314653,stablecoin;usd-stablecoin;tron20-ecosystem;made-in-america;world-liberty-financial-portfolio;binance-ecosystem;binance-listing;wlfi-ecosystem,https://static.worldlibertyfinancial.com/docs/gold-paper.pdf,2025-04-13T05:37:56.000Z,2025-09-18T18:32:00.000Z
